track_name,artist(s)_name,in_spotify_playlists,streams,in_apple_playlists,in_deezer_playlists,artist_count,released_year,released_month,released_day,in_spotify_charts,in_apple_charts,in_deezer_charts,in_shazam_charts,bpm,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,speechiness_%,liveness_%,key,mode
MANIAC,Stray Kids,651,212234990,6,20,1,2022,3,18,0,188,0,0,120,58,71,80,15,0,41,7,C#,Major
MERCHO,"Migrantes, LiL CaKe, Nico Valdi",1267,231332117,41,56,3,2022,12,16,20,22,4,84,93,84,96,79,43,0,11,18,F#,Minor
METAMORPHOSIS,INTERWORLD,1561,357580552,18,24,1,2021,11,25,24,78,0,30,175,59,15,64,43,90,10,12,G,Minor
MIDDLE OF THE NIGHT,Elley Duhï¿,4057,872137015,78,240,1,2020,1,10,8,21,1,52,186,41,9,61,2,0,5,12,E,Minor
MIENTRAS ME CURO DEL CORA,Karol G,1020,206399629,15,30,1,2023,2,24,35,26,6,0,80,52,57,48,86,0,39,15,,Major
MOJABI GHOST,"Tainy, Bad Bunny",859,61245289,35,41,2,2023,6,29,40,109,14,211,122,81,74,71,14,0,4,56,F#,Minor
MONEY,Lisa,2566,863625566,44,131,1,2021,9,10,13,109,0,,140,83,40,55,16,0,23,14,C#,Minor
MONTAGEM - FR PUNK,"Ayparia, unxbected",641,58054811,1,8,2,2012,6,20,50,52,0,1170,129,63,84,82,70,8,7,9,A,Major
MONTERO (Call Me By Your Name),Lil Nas X,12329,1735441776,275,738,1,2020,9,18,0,19,0,,179,61,76,51,30,0,15,38,G#,Minor
MORE,j-hope,565,155795783,6,11,1,2022,7,1,0,52,0,0,97,78,31,72,1,0,4,11,D,Major
Maan Meri Jaan,King,288,319566866,11,1,1,2022,10,12,6,80,0,8,96,70,40,51,35,0,4,10,F#,Minor
Made You Look,Meghan Trainor,3956,502574952,142,127,1,2022,10,21,6,23,3,16,145,84,88,53,35,0,7,8,A#,Major
Major Distribution,"Drake, 21 Savage",1545,154863153,22,15,2,2022,11,4,0,7,0,0,131,91,23,55,1,0,32,7,G#,Minor
Makeba,Jain,6060,165484133,150,2703,1,2015,6,22,53,148,22,1451,116,82,40,66,39,51,7,25,D,Major
Mal Feito - Ao Vivo,"Marï¿½ï¿½lia Mendonï¿½ï¿½a, Hugo & G",971,291709698,35,93,2,2022,1,14,2,104,1,0,124,73,68,83,55,0,7,90,,Minor
Malas Decisiones,Kenia OS,542,156214700,23,21,1,2022,10,26,2,2,0,0,110,81,64,79,5,0,3,31,G#,Minor
Malvada,Zï¿½ï¿½ Fe,601,154119539,28,64,1,2022,1,28,0,73,0,0,135,89,89,86,16,0,5,8,F,Minor
Malvadï¿½ï¿,"Xamï¿½ï¿½, Gustah, Neo B",648,240684449,14,81,3,2021,11,30,1,3,0,0,133,82,52,61,38,0,27,14,F#,Minor
Mami Chula,"Quevedo, Jhayco",875,61105704,17,27,2,2023,4,27,4,13,0,43,120,80,33,70,22,0,4,9,G,Minor
Man Made A Bar (feat. Eric Church),"Morgan Wallen, Eric Church",329,58890931,14,1,2,2023,3,3,0,35,0,0,148,50,49,76,12,0,3,12,E,Major
Marisola - Remix,"Duki, NICKI NICOLE, Cris Mj, Standly, Stars Music Chile",1845,223582566,20,30,5,2022,12,15,16,8,2,0,95,77,72,87,17,0,5,7,C#,Major
Maroon,Taylor Swift,2304,317726339,12,14,1,2022,10,21,0,16,0,0,108,64,4,40,6,0,6,10,G,Major
Mary On A Cross,Ghost,2668,387080183,38,78,1,2019,9,13,2,266,0,141,130,47,56,90,0,0,4,10,B,Major
Mas Rica Que Ayer,"Mambo Kingz, DJ Luian, Anuel Aa",1208,146409671,10,20,3,2023,3,2,34,41,0,1,94,82,53,67,34,0,8,9,B,Major
Massive,Drake,5263,195628667,66,61,1,2022,6,17,0,89,0,11,125,51,5,68,12,2,6,15,E,Minor
Master of Puppets (Remastered),Metallica,6080,704171068,112,406,1,1986,3,3,0,198,1,0,105,54,59,83,0,44,4,20,E,Minor
Mastermind,Taylor Swift,1936,218320587,7,13,1,2022,10,21,0,5,0,0,126,66,12,35,55,0,14,9,E,Major
Matilda,Harry Styles,3218,366214458,29,79,1,2022,5,20,3,10,0,0,114,51,39,29,90,0,4,10,D,Major
Me Arrepentï¿,"Ak4:20, Cris Mj, Pailita",273,118381354,12,4,3,2022,3,30,2,2,0,0,92,86,91,79,29,0,16,60,,Major
Me Fui de Vacaciones,Bad Bunny,1443,305650299,9,22,1,2022,5,6,0,11,1,0,85,71,43,65,23,0,5,9,A#,Major
Me Porto Bonito,"Chencho Corleone, Bad Bunny",8870,1440757818,104,141,2,2022,5,6,43,120,26,49,92,91,43,71,9,0,8,9,C#,Minor
Me and Your Mama,Childish Gambino,8775,445590495,33,107,1,2016,11,10,0,60,1,0,118,56,25,45,1,3,3,7,F,Major
Medallo,"Justin Quiles, Lenny Tavï¿½ï¿½rez, BL",2780,393230256,54,57,3,2021,10,27,2,21,1,0,90,79,79,70,57,0,8,66,E,Minor
Meet Me At Our Spot,"THE ANXIETY, Willow, Tyler Cole",6734,530511203,47,90,3,2020,3,13,0,14,0,1,95,77,40,47,2,0,3,9,D,Major
Mejor Que Yo,"Mambo Kingz, DJ Luian, Anuel Aa",675,50847624,9,11,3,2023,5,4,1,13,0,1,178,62,56,66,18,0,5,12,C#,Minor
Memories,Maroon 5,9974,1759567999,272,1066,1,2019,9,20,2,67,1,19,91,77,60,32,84,0,5,8,B,Major
Merry Christmas,"Ed Sheeran, Elton John",2209,135723538,72,141,2,2017,11,10,0,90,0,0,114,59,60,94,24,0,4,10,,Major
Merry Christmas Everyone,Shakin' Stevens,1087,351636786,90,5,1,1984,1,1,0,35,0,0,101,72,91,87,14,0,3,13,C#,Minor
Mi Bello Angel,Natanael Cano,86,31873544,7,3,1,2023,6,30,8,76,1,93,128,81,90,77,1,0,5,9,A,Minor
Midnight Rain,Taylor Swift,2612,433356509,19,21,1,2022,10,21,4,29,0,0,140,64,18,37,72,0,7,12,,Major
Mine (Taylor's Version),Taylor Swift,99,36912123,21,6,1,2023,7,7,15,52,1,0,121,65,49,78,0,0,4,17,G,Major
Miracle (with Ellie Goulding),"Calvin Harris, Ellie Goulding",5120,211050784,161,246,2,2023,3,10,48,115,9,638,143,64,31,87,4,4,4,8,A,Major
Mirror,Kendrick Lamar,1929,53603447,2,4,1,2022,5,13,0,0,0,0,92,66,29,65,23,0,7,8,E,Minor
Miserable Man,David Kushner,788,124407432,13,32,1,2022,1,7,0,0,1,0,110,63,31,35,93,0,3,29,A#,Major
Miss You,"Robin Schulz, Oliver Tree",5730,497225336,108,197,2,2022,8,5,10,16,3,165,145,59,20,74,1,0,5,15,F#,Minor
Miss You,Southstar,2020,154356956,77,119,1,1982,5,16,0,10,0,40,145,66,24,58,17,0,5,19,A,Major
Mistletoe,Justin Bieber,9577,629173063,195,310,1,2011,1,1,0,111,0,0,162,67,88,54,51,0,4,9,F#,Minor
Miï¿½ï¿½n,"Tini, Maria Becerra",3406,596152090,61,70,2,2021,4,29,16,23,1,0,92,85,92,54,16,0,7,29,D,Major
Mockingbird,Eminem,12985,1241559043,49,2394,1,2004,1,1,61,98,5,204,84,62,24,67,21,0,28,13,E,Minor
Mon Amour - Remix,"Aitana, zzoilo",3221,578207856,67,139,2,2020,9,21,2,13,0,40,116,75,36,76,12,0,10,10,D,Major
Money Trees,"Kendrick Lamar, Jay Rock",26792,1093605526,69,695,2,2012,1,1,32,113,0,458,144,74,37,53,7,0,10,21,E,Minor
Monotonï¿½,"Ozuna, Shakira",3645,380726517,118,150,2,2022,10,19,15,34,4,19,132,87,82,70,42,0,5,21,,Minor
Monï¿½ï¿½y so,YEAT,1473,263779030,2,12,1,2021,9,10,0,0,0,10,138,69,35,57,12,0,9,10,D,Major
Mood (feat. Iann Dior),"24kgoldn, Iann Dior",12854,1699402402,237,636,2,2020,7,24,0,27,0,,91,70,76,72,22,0,4,27,G,Minor
Moonlight,Kali Uchis,2649,256483385,67,57,1,2023,2,24,42,79,1,615,137,64,88,72,51,0,5,17,G,Minor
Moscow Mule,Bad Bunny,4572,909001996,74,85,1,2022,5,6,33,113,9,2,100,80,29,67,29,0,3,12,F,Minor
Moth To A Flame (with The Weeknd),"The Weeknd, Swedish House Mafia",7495,611994237,114,284,2,2021,10,22,17,172,2,,120,56,16,67,0,0,4,11,,Minor
Mother I Sober (feat. Beth Gibbons of Portishead),"Kendrick Lamar, Beth Gibbons",1890,33381454,3,2,2,2022,5,13,0,0,0,0,140,49,50,37,87,0,35,11,G#,Minor
Mount Everest,Labrinth,5443,467727006,45,80,1,2019,6,21,0,1,0,12,89,46,43,43,23,8,22,8,,Minor
Mr. Brightside,The Killers,51979,1806617704,306,5063,1,2003,9,23,15,99,2,120,148,35,24,93,0,0,8,10,C#,Major
Mr. Morale,"Kendrick Lamar, Tanna Leone",1860,58687425,1,3,2,2022,5,13,0,0,0,0,174,73,26,54,30,0,32,34,A,Major
Mujeriego,Ryan Castro,1492,231996128,44,91,1,2021,12,17,0,63,0,24,80,76,92,62,6,0,13,8,A,Major
Murder In My Mind,Kordhell,2459,448843705,20,50,1,2022,1,21,20,68,0,22,120,71,57,97,1,0,11,13,A#,Major
Music For a Sushi Restaurant,Harry Styles,4449,334733572,80,66,1,2022,5,20,1,11,0,1,107,72,36,72,26,6,4,11,B,Major
Muï¿½ï¿½,"Steve Aoki, Tini, La Joaqui",658,120972253,33,53,3,2023,1,12,6,7,2,0,90,68,83,71,3,0,8,31,A#,Minor
My Mind & Me,Selena Gomez,953,91473363,61,37,1,2022,11,3,0,13,1,0,144,60,24,39,57,0,3,8,A,Major
My Only Wish (This Year),Britney Spears,6952,261116938,115,286,1,2000,11,7,0,53,0,0,147,67,69,72,17,0,3,19,,Major
My Universe,"Coldplay, BTS",6127,1061966512,0,0,2,2021,9,24,13,0,0,0,105,58,42,68,1,0,4,14,A,Major
N95,Kendrick Lamar,5542,301242089,52,65,1,2022,5,13,0,16,0,206,140,81,39,66,38,0,14,12,D#,Minor
NEW MAGIC WAND,"Tyler, The Creator",4708,461437791,13,55,2,2019,5,16,0,7,0,1,140,62,46,73,10,0,11,67,F,Minor
Nail Tech,Jack Harlow,2939,193443895,42,24,1,2022,2,18,0,0,0,0,150,65,11,58,0,0,9,12,E,Minor
Need To Know,Doja Cat,6672,1042568408,125,150,1,2021,6,11,0,36,0,,130,66,19,61,30,0,7,9,C#,Major
Never Felt So Alone,Labrinth,1730,117747907,46,51,1,2023,4,7,3,5,0,20,98,44,36,41,50,0,5,38,F,Major
Neverita,Bad Bunny,2590,671365962,20,35,1,2022,5,6,30,64,6,0,122,88,43,50,7,0,5,14,A#,Major
New Jeans,NewJeans,77,29562220,8,4,1,2023,7,7,35,166,4,34,134,81,53,72,51,0,5,12,E,Minor
Niagara Falls (Foot or 2) [with Travis Scott & 21 Savage],"Travis Scott, 21 Savage, Metro Boomin",1602,195516622,12,12,3,2022,12,2,0,22,0,2,88,49,24,66,19,0,29,18,G,Minor
Night Changes,One Direction,7124,1131090940,60,2,1,2014,11,17,18,20,0,,120,67,40,52,86,0,4,12,G#,Major
Niï¿½ï¿½a Bo,"Sean Paul, Feid",1305,115010040,29,43,2,2023,4,21,34,26,5,44,91,82,47,62,10,0,15,10,G,Major
No Lie,"Sean Paul, Dua Lipa",7370,956865266,92,1219,2,2016,11,18,0,127,0,62,102,74,45,89,5,0,13,26,G,Major
No Role Modelz,J. Cole,21164,1791000570,80,476,1,2014,12,9,36,65,0,14,100,70,47,52,30,0,33,6,A#,Minor
No Se Va,Grupo Frontera,924,404887295,17,22,1,2022,4,28,18,80,9,38,173,59,69,53,12,0,3,23,,Major
Nobody Gets Me,SZA,2536,284908316,59,58,1,2022,12,9,6,100,13,2,100,36,28,28,81,0,3,18,G,Major
"Nobody Like U - From ""Turning Red""","Jordan Fisher, Josh Levi, Finneas O'Connell, 4*TOWN (From Disney and Pixarï¿½ï¿½ï¿½s Turning Red), Topher Ngo, Grayson Vill",918,120847157,34,30,6,2022,2,25,0,39,0,0,105,91,73,72,13,0,15,9,A,Minor
Nonsense,Sabrina Carpenter,2346,342897938,69,38,1,2022,7,15,27,12,8,64,139,74,68,68,3,0,4,26,G#,Major
Normal,Feid,2461,459276435,47,45,1,2022,7,8,36,66,5,6,170,71,59,56,4,0,12,27,E,Minor
Nos Comemos (feat. Ozuna),"Ozuna, Tiago pzk",896,138334433,0,2,2,2022,6,2,0,0,0,0,92,83,56,82,10,0,5,9,F#,Major
Nosso Quadro,"Ana Castela, AgroPlay",894,233801632,14,66,2,2023,2,2,9,88,3,72,160,69,61,71,33,0,20,31,A,Major
Nostï¿½ï¿½l,"Chris Brown, Rvssian, Rauw Alejandro",2780,436695353,86,59,3,2021,9,8,2,76,0,16,98,73,60,85,17,0,5,24,A,Minor
Notice Me,SZA,819,62019074,14,0,1,2022,12,9,0,22,0,0,160,72,78,68,28,0,12,11,F,Major
Notion,The Rare Occasions,2393,421135627,22,65,1,2016,8,5,0,13,0,6,160,31,30,88,7,0,8,8,A,Major
Novidade na ï¿½ï¿,"Mc Livinho, DJ Matt D",267,39709092,9,25,2,2023,6,23,9,6,2,72,130,63,36,34,76,0,9,35,F,Major
Novo Balanï¿½,"Veigh, Bvga Beatz, Supernova Ent, Prod Malax",283,81102253,6,26,4,2023,5,19,7,9,1,66,124,84,65,50,67,0,6,13,D#,Minor
Numb,Linkin Park,20111,1361425037,39,7341,1,2003,3,24,5,0,0,0,110,50,24,86,0,0,4,64,A,Major
Numb,"Marshmello, Khalid",3879,295307001,107,86,2,2022,6,10,2,76,1,9,120,91,63,77,12,1,5,10,,Minor
Numb Little Bug,Em Beihold,2026,258714692,47,42,1,2022,1,28,0,3,12,6,85,74,61,52,30,0,9,26,G#,Minor
Nxde,(G)I-DLE,430,170709584,14,9,1,2022,10,17,6,116,0,11,136,73,65,91,4,0,18,48,E,Minor
O.O,NMIXX,290,135444283,9,10,1,2022,2,22,0,66,0,0,200,39,28,77,4,0,29,6,B,Minor
OMG,NewJeans,1783,430977451,26,15,1,2023,1,2,27,124,1,22,127,80,74,77,36,0,4,11,A,Minor
OUT OUT (feat. Charli XCX & Saweetie),"Charli XCX, Jax Jones, Joel Corry, Saweetie",6890,427486004,122,201,4,2021,8,13,0,11,0,1,124,79,79,84,2,0,5,5,G#,Minor
Obsessed,"Abhijay Sharma, Riar Saab",161,71007139,10,2,2,2022,9,29,6,79,0,42,135,80,85,74,62,0,9,8,F,Minor
Oh My God,Adele,4431,466214729,105,199,1,2021,11,19,0,7,0,0,88,53,55,73,9,0,5,3,C#,Major
Oi Balde - Ao Vivo,Zï¿½ï¿½ Neto & Crist,845,145458418,12,47,1,2023,2,14,2,57,1,33,108,67,55,67,60,0,5,80,D,Major
Ojitos Lindos,"Bomba Estï¿½ï¿½reo, Bad B",6135,1133865788,71,99,2,2022,5,6,38,113,13,28,80,65,27,69,8,0,4,53,D#,Minor
Ojos Marrones,Lasso,795,263280370,26,15,1,2022,2,6,11,18,1,4,120,81,72,65,4,0,4,14,G#,Minor
On BS,"Drake, 21 Savage",1338,170413877,9,7,2,2022,11,4,0,20,0,0,158,84,33,36,2,0,59,39,A,Major
On Time (with John Legend),"John Legend, Metro Boomin",398,78139948,2,6,2,2022,12,2,0,2,0,2,80,33,51,59,76,0,6,44,F,Minor
One Dance,"Drake, WizKid, Kyla",43257,2713922350,433,3631,3,2016,4,4,24,107,0,26,104,77,36,63,1,0,5,36,C#,Major
One Kiss (with Dua Lipa),"Calvin Harris, Dua Lipa",27705,1897517891,537,2726,2,2017,6,2,10,122,6,,124,79,59,86,4,0,11,8,A,Minor
One Right Now (with The Weeknd),"The Weeknd, Post Malone",4771,539595276,68,75,2,2021,11,5,0,18,0,1,97,68,72,78,4,0,5,7,C#,Major
One Thing At A Time,Morgan Wallen,811,148469433,11,5,1,2022,12,2,4,58,0,21,142,61,92,91,0,0,3,26,G,Major
Only Love Can Hurt Like This,Paloma Faith,5148,588955257,90,365,1,2014,1,1,0,22,0,114,91,57,30,89,10,0,8,33,G#,Major
Open Arms (feat. Travis Scott),"SZA, Travis Scott",1420,155653938,13,17,2,2022,12,8,4,87,0,46,78,67,22,59,76,1,16,15,A,Major
Otro Atardecer,"Bad Bunny, The Marï¿½ï",1681,319546754,10,13,2,2022,5,6,7,30,0,33,108,78,55,60,59,0,4,7,D,Major
Out of Time,The Weeknd,3711,339659802,49,62,1,2022,1,7,0,88,0,,93,65,82,74,27,0,5,32,,Minor
Overdrive,Post Malone,410,14780425,36,31,1,2023,7,14,36,32,1,26,140,56,48,73,0,0,4,35,C#,Major
PERO Tï¿,"Karol G, Quevedo",387,93438910,11,14,2,2023,2,23,11,15,3,1,140,86,68,79,39,0,29,11,F#,Major
PLAYA DEL INGLï¿½,"Myke Towers, Quevedo",1701,221409663,30,34,2,2022,12,15,15,15,2,47,113,79,66,74,8,0,5,11,G,Minor
POLARIS - Remix,"Feid, Mora, Saiko, Quevedo",773,57312735,20,21,4,2023,6,8,33,46,8,99,170,62,55,80,15,0,7,37,G#,Minor
POP!,Nayeon,571,213505179,19,14,1,2022,6,24,0,21,0,2,97,80,36,86,4,0,5,3,D,Major
PRC,"Natanael Cano, Peso Pluma",961,436027885,19,10,2,2023,1,23,26,143,6,15,138,78,89,83,10,0,5,12,G,Minor
PROVENZA,Karol G,6587,885093467,114,147,1,2022,4,21,34,104,11,20,111,87,53,52,66,1,5,11,C#,Major
PUFFIN ON ZOOTIEZ,Future,2350,254218729,28,23,1,2022,4,29,0,42,0,0,125,88,28,66,6,0,31,13,G#,Major
PUNTO 40,"Baby Rasta, Rauw Alejandro",3006,304079786,54,66,2,2022,9,22,12,32,2,0,107,87,20,83,0,4,9,31,,Major
Pantysito,"Feid, Alejo, Robi",2995,273005485,49,30,3,2022,3,18,0,17,0,0,98,83,63,74,14,0,6,16,G,Minor
Party,"Bad Bunny, Rauw Alejandro",3185,614555082,38,37,2,2022,5,6,4,64,3,36,97,83,47,80,2,0,9,24,A,Major
Pasoori,"Shae Gill, Ali Sethi",349,284249832,10,3,2,2022,2,6,6,22,0,0,92,71,67,60,7,0,4,6,B,Minor
Pass The Dutchie,Musical Youth,5328,195918494,54,900,1,1982,1,1,0,76,0,0,151,73,88,67,20,0,5,32,G,Major
"Paulo Londra: Bzrp Music Sessions, Vol. 23","Bizarrap, Paulo Londra",928,164163229,19,7,2,2022,4,25,0,0,0,0,96,61,32,90,25,0,9,10,,Major
Payphone,"Maroon 5, Wiz Khalifa",14143,1479264469,56,1891,2,2012,1,1,4,38,1,,110,74,51,74,2,0,4,29,E,Major
Peaches (feat. Daniel Caesar & Giveon),"Justin Bieber, Daniel Caesar, Giveon",14140,1445941661,231,612,3,2021,3,19,0,52,6,,90,63,49,68,38,0,18,42,,Major
Peaches (from The Super Mario Bros. Movie),Jack Black,34,68216992,0,0,1,2023,4,7,0,0,0,0,92,71,41,31,79,0,5,10,A#,Minor
People,Libianca,3506,373199958,105,169,1,2022,12,2,56,64,8,529,198,59,71,42,55,0,7,10,A#,Minor
People Pt.2 (feat. IU),"IU, Agust D",209,95816024,4,11,2,2023,4,7,4,45,2,24,89,73,44,57,39,0,6,32,G,Minor
Pepas,Farruko,14114,1309887447,252,965,1,2021,6,24,17,109,20,,130,76,44,77,1,0,3,13,G,Major
Perfect,Ed Sheeran,16596,2559529074,7,2094,1,2017,1,1,13,0,0,0,95,60,17,45,16,0,2,11,G#,Major
Permission to Dance,BTS,1801,608334048,77,74,1,2021,7,9,2,134,0,2,125,70,65,74,1,0,4,34,A,Major
Peru,"Ed Sheeran, Fireboy DML",2999,261286503,60,154,2,2021,12,23,0,17,0,22,108,96,71,42,57,0,9,8,G,Minor
"Peso Pluma: Bzrp Music Sessions, Vol. 55","Bizarrap, Peso Pluma",1313,200647221,17,32,2,2023,5,31,40,152,11,139,133,85,81,67,26,0,5,12,F,Minor
Phantom Regret by Jim,The Weeknd,768,31959571,1,3,1,2022,1,7,0,1,0,0,108,46,23,48,75,30,4,14,A,Minor
"Phir Aur Kya Chahiye (From ""Zara Hatke Zara Bachke"")","Arijit Singh, Sachin-Jigar, Amitabha Bhattacharya",178,64533040,6,1,3,2023,5,15,6,71,0,31,100,56,53,55,53,0,4,12,E,Major
Photograph,Ed Sheeran,18778,2236667932,228,2453,1,2014,6,20,3,105,0,84,108,61,20,38,61,0,5,10,E,Major
Pink + White,Frank Ocean,21574,806397070,112,266,1,2016,8,20,30,68,1,39,160,54,54,55,67,0,11,42,A,Major
Pink Venom,BLACKPINK,1963,551305895,57,77,1,2022,8,19,16,119,1,13,90,80,71,69,2,0,10,27,,Major
Pipoco,"Melody, Ana Castela, Dj Chris No Beat",1112,191873381,22,65,3,2022,5,20,4,2,1,3,135,77,74,74,47,0,8,34,G#,Major
Piï¿½ï¿½man Deï¿,"Semicenk, Doï¿½ï¿½u ",185,43522589,5,4,2,2023,6,2,3,6,1,33,98,73,45,62,28,0,13,13,A#,Minor
Plan A,Paulo Londra,1105,240661097,32,19,1,2022,3,23,0,0,0,0,174,58,56,83,5,0,4,7,,Major
Players,Coi Leray,4096,335074782,118,143,1,2022,11,30,6,48,0,240,105,95,62,52,3,0,16,5,F#,Major
Poland,Lil Yachty,1584,115331792,38,24,1,2022,6,23,0,0,0,0,150,70,26,56,14,83,5,11,F,Minor
Polaroid Love,ENHYPEN,461,211372494,10,17,1,2022,1,10,0,56,0,0,138,74,65,67,46,0,4,36,G,Minor
Pope Is a Rockstar,SALES,1966,156658366,4,50,1,2016,4,20,0,2,0,0,90,73,31,45,85,24,3,11,E,Minor
Popular (with Playboi Carti & Madonna) - The Idol Vol. 1 (Music from the HBO Original Series),"The Weeknd, Madonna, Playboi Carti",1945,115364561,74,87,3,2023,6,2,87,182,14,1093,99,85,83,68,7,0,20,36,C#,Major
Por las Noches,Peso Pluma,457,330346424,8,4,1,2021,6,11,24,116,3,2,92,81,39,60,31,0,3,7,,Major
Potion (with Dua Lipa & Young Thug),"Calvin Harris, Dua Lipa, Young Thug",3983,190625045,73,119,3,2022,5,27,0,45,0,0,100,82,76,70,16,0,5,8,B,Minor
Praise God,Kanye West,4651,376333030,24,105,1,2021,8,29,0,6,0,0,118,80,21,55,1,0,17,26,C#,Major
Primera Cita,Carin Leon,266,77309611,6,6,1,2022,4,20,27,40,6,202,158,54,50,40,61,0,6,10,A#,Major
Princess Diana (with Nicki Minaj),"Nicki Minaj, Ice Spice",1444,104992946,0,0,2,2023,4,14,4,0,0,0,148,90,74,68,14,0,19,10,A,Major
Private Landing (feat. Justin Bieber & Future),"Don Toliver, Future, Justin Bieber",1190,105062254,29,18,3,2023,2,23,0,3,0,19,137,84,44,67,8,0,6,11,C#,Minor
Privileged Rappers,"Drake, 21 Savage",1007,112436403,6,3,2,2022,11,4,0,5,0,0,144,93,62,61,0,0,20,12,F,Major
Problemï¿½,"Alvaro Diaz, Rauw Alejandro",1517,209768491,42,15,2,2021,10,22,0,7,0,4,92,73,37,74,28,0,6,14,D,Minor
Prohibidox,Feid,1473,185392587,25,25,1,2022,9,13,12,36,1,0,180,65,52,80,5,0,25,6,C#,Minor
Punto G,Quevedo,1985,381161027,34,37,1,2022,11,4,35,26,5,1,92,75,55,76,25,0,15,10,B,Minor
Purple Hearts,"Kendrick Lamar, Ghostface Killah, Summer Walker",2308,76831876,7,7,3,2022,5,13,0,0,0,0,138,57,71,82,19,0,29,15,D#,Minor
Pussy & Millions (feat. Travis Scott),"Drake, Travis Scott, 21 Savage",1930,191333656,24,17,3,2022,11,4,0,8,0,1,122,75,45,63,6,0,12,35,E,Minor
QUEMA,"Sog, Ryan Castro, Peso Pluma",437,11599388,17,26,3,2023,7,13,31,29,3,208,97,79,92,89,5,0,5,6,,Major
Que Vuelvas,"Carin Leon, Grupo Frontera",763,2762,21,21,2,2022,12,9,26,110,9,71,162,49,78,64,19,0,4,11,A#,Major
Queencard,(G)I-DLE,451,96273746,10,7,1,2023,5,15,33,126,0,148,130,82,69,83,3,0,5,27,E,Minor
Question...?,Taylor Swift,1608,223064273,10,12,1,2022,10,21,0,3,0,0,109,75,11,50,20,0,17,30,G,Major
"Quevedo: Bzrp Music Sessions, Vol. 52","Bizarrap, Quevedo",8506,1356565093,94,164,2,2022,7,6,45,65,14,176,128,62,55,78,1,3,4,23,D,Major
Quï¿½ï¿½ Ago,"Yuridia, Angela Aguilar",660,236857112,19,18,2,2022,10,20,15,59,5,52,98,73,88,57,56,0,2,5,B,Major
Quï¿½ï¿½ Mï¿½ï¿,"J Balvin, Maria Becerra",8087,720825549,92,131,2,2021,1,28,0,34,0,0,102,89,77,82,3,0,11,17,G#,Major
RAPSTAR,Polo G,4731,797402345,141,78,1,2021,4,9,0,12,0,0,81,79,44,54,41,0,24,13,F#,Major
REMIX EXCLUSIVO,Feid,1235,117206995,20,15,1,2023,3,17,9,8,0,6,87,65,71,56,4,0,20,15,F,Minor
RUMBATï¿½,Daddy Yankee,1264,157990698,20,52,1,2022,3,25,0,4,0,1,95,69,90,91,6,0,4,35,D#,Minor
Radio,Lana Del Rey,9389,284819874,24,282,1,2011,1,1,46,122,3,368,150,42,20,86,21,0,9,9,D,Major
Raindrops (Insane) [with Travis Scott],"Travis Scott, Metro Boomin",880,110649992,3,10,2,2022,12,2,0,7,0,0,112,80,15,54,9,0,5,38,G#,Major
Rara Vez,"Taiu, Milo j",893,248088961,19,24,2,2023,2,8,38,23,3,88,120,84,96,71,18,0,17,34,F,Minor
"Rauw Alejandro: Bzrp Music Sessions, Vol. 56","Rauw Alejandro, Bizarrap",871,66902503,25,32,2,2023,6,21,32,59,5,88,128,78,59,65,10,0,5,26,B,Major
Red Ruby Da Sleeze,Nicki Minaj,1168,81419389,45,20,1,2023,3,3,0,11,0,21,98,70,29,73,12,0,26,11,C#,Major
Reminder,The Weeknd,6518,684675814,45,238,1,2016,11,25,17,85,1,47,160,71,40,50,16,0,22,16,G#,Major
"Residente: Bzrp Music Sessions, Vol. 49","Residente, Bizarrap",461,94616487,7,13,2,2022,3,3,0,11,0,0,71,59,70,74,56,0,40,11,C#,Minor
Revenge,XXXTENTACION,3600,1022258230,7,203,1,2017,8,25,11,0,0,2,140,75,18,25,78,0,26,11,B,Minor
Rich - Interlude,Kendrick Lamar,1103,41210087,0,0,1,2022,5,13,0,0,0,0,104,44,74,42,88,0,9,9,G,Major
Rich Flex,"Drake, 21 Savage",4657,573633020,84,42,2,2022,11,4,18,84,0,23,153,56,42,52,5,0,24,36,B,Minor
Rich Spirit,Kendrick Lamar,3486,173702135,20,33,1,2022,5,13,0,10,0,0,96,85,41,43,39,0,21,12,A#,Minor
Right On,Lil Baby,1116,101780047,31,15,1,2022,4,8,0,9,0,1,166,70,22,61,2,0,34,10,D,Major
Riptide,Vance Joy,31123,2009094673,300,1003,1,1975,1,1,55,65,1,0,102,48,50,73,43,0,4,15,C#,Major
Rockin' Around The Christmas Tree,Brenda Lee,14994,769213520,191,206,1,1958,1,1,0,168,0,,140,70,85,41,71,0,5,45,G#,Major
Rolling in the Deep,Adele,35684,1472799873,195,6280,1,2010,11,29,6,125,2,78,105,73,52,76,13,0,3,5,G#,Major
Romantic Homicide,d4vd,2335,681583126,82,50,1,2022,7,20,23,55,0,9,132,56,20,55,45,1,3,32,F#,Major
Rosa Pastel,"Jasiel Nuï¿½ï¿½ez, Peso P",200,90025258,8,2,2,2023,2,2,4,77,1,1,123,70,86,68,24,0,4,11,G,Minor
Rumble,"Skrillex, Flowdan, Fred again..",2849,78489819,39,27,3,2022,1,17,0,45,0,1,140,81,6,84,5,23,6,6,C#,Minor
Run BTS,BTS,736,330881149,5,17,1,2022,6,10,0,132,0,3,77,72,70,82,2,0,17,4,G#,Major
